age_p,male_p,female_p
0.00987,0.52293,0.47707
0.01088,0.49897,0.50103
0.01069,0.49430,0.50570
0.01116,0.52256,0.47744
0.01241,0.50634,0.49366
0.01411,0.50125,0.49875
0.01554,0.50062,0.49938
0.01576,0.50081,0.49919
0.01555,0.51021,0.48979
0.01494,0.50655,0.49345
0.01435,0.49944,0.50056
0.01255,0.50064,0.49936
0.01210,0.49841,0.50159
0.01196,0.50201,0.49799
0.01125,0.51398,0.48602
0.01036,0.50836,0.49164
0.01070,0.47555,0.52445
0.01121,0.49542,0.50458
0.01164,0.49669,0.50331
0.01164,0.53252,0.46748
0.01031,0.48864,0.51136
0.00900,0.47290,0.52710
0.00862,0.46910,0.53090
0.00809,0.48116,0.51884
0.00839,0.44610,0.55390
0.00799,0.46104,0.53896
0.00886,0.46850,0.53150
0.00989,0.47907,0.52093
0.00950,0.45120,0.54880
0.01077,0.44262,0.55738
0.01177,0.47178,0.52822
0.01392,0.46196,0.53804
0.01611,0.45857,0.54143
0.01732,0.46443,0.53557
0.01836,0.45858,0.54142
0.02021,0.45697,0.54303
0.02175,0.46467,0.53533
0.02138,0.46954,0.53046
0.02004,0.46414,0.53586
0.02023,0.46232,0.53768
0.01823,0.44534,0.55466
0.01697,0.45736,0.54264
0.01753,0.45726,0.54274
0.01546,0.44645,0.55355
0.01546,0.44677,0.55323
0.01434,0.44385,0.55615
0.01439,0.43501,0.56499
0.01375,0.44141,0.55859
0.01324,0.43806,0.56194
0.01175,0.44168,0.55832
0.01145,0.44731,0.55269
0.01111,0.44987,0.55013
0.01033,0.44517,0.55483
0.00979,0.43475,0.56525
0.00906,0.42665,0.57335
0.00967,0.41075,0.58925
0.01051,0.42412,0.57588
0.01098,0.39655,0.60345
0.01131,0.40993,0.59007
0.01184,0.39377,0.60623
0.01201,0.39738,0.60262
0.01344,0.38109,0.61891
0.01336,0.37641,0.62359
0.01309,0.37666,0.62334
0.01273,0.36157,0.63843
0.01287,0.35419,0.64581
0.01221,0.34753,0.65247
0.01232,0.35677,0.64323
0.01246,0.33428,0.66572
0.01073,0.34310,0.65690
0.01056,0.33384,0.66616
0.01015,0.34292,0.65708
0.00969,0.35277,0.64723
0.01006,0.32121,0.67879
0.00652,0.31136,0.68864
0.00624,0.31739,0.68261
0.00580,0.30254,0.69746
0.00333,0.30318,0.69682
0.00217,0.25849,0.74151
0.00173,0.25651,0.74349
0.00255,0.24685,0.75315
0.00464,0.24291,0.75709
0.00362,0.23472,0.76528
0.00394,0.19560,0.80440
0.00329,0.18457,0.81543
0.00313,0.21026,0.78974
0.00184,0.18150,0.81850
0.00158,0.18737,0.81263
0.00106,0.17933,0.82067
0.00085,0.14717,0.85283
0.00098,0.17105,0.82895
0.00079,0.17886,0.82114
0.00055,0.13529,0.86471
0.00046,0.09722,0.90278
0.00030,0.13043,0.86957
0.00020,0.01587,0.98413
0.00013,0.15000,0.85000
0.00013,0.17500,0.82500
0.00007,0.04545,0.95455
0.00004,0.23077,0.76923
0.00005,0.12500,0.87500
